Group,LSTM,conv,augmented,frame,accuracy
1,0,3,0,9,0.90492171
1,0,3,1,1,0.911308229
1,0,3,1,5,0.945434272
1,0,3,1,7,0.9296875
1,0,3,1,3,0.939999998
1,0,3,1,11,0.921524644
1,0,3,1,9,0.929530203
1,0,2,0,1,0.919068754
1,0,2,0,5,0.944320738
1,0,2,0,7,0.933035731
1,0,2,0,3,0.947777748
1,0,2,0,11,0.901345313
1,0,2,0,9,0.930648744
1,0,2,1,1,0.697339237
1,0,2,1,5,0.946547866
1,0,2,1,7,0.931919634
1,0,2,1,3,0.944444418
1,0,2,1,11,0.922645748
1,0,2,1,9,0.926174521
1,0,1,0,1,0.903547645
1,0,1,0,5,0.935412049
1,0,1,0,7,0.934151769
1,0,1,0,3,0.949999988
1,0,1,0,11,0.919282496
1,0,1,0,9,0.927293062
1,0,1,1,1,0.949002206
1,0,1,1,5,0.932071269
1,0,1,1,7,0.912946403
1,0,1,1,3,0.944444418
1,0,1,1,11,0.886771321
1,0,1,1,9,0.920581639
0,1,6,0,1,0.902438998
0,1,6,0,5,0.913140297
0,1,6,0,7,0.918526769
0,1,6,0,3,0.886666656
0,1,6,0,11,0.921524644
0,1,6,0,9,0.930648744
0,1,6,1,1,0.93569845
0,1,6,1,5,0.945434272
0,1,6,1,7,0.939732134
0,1,6,1,3,0.951111138
0,1,6,1,11,0.915919304
0,1,6,1,9,0.926174521
0,1,5,0,1,0.925720632
0,1,5,0,5,0.942093551
0,1,5,0,7,0.916294634
0,1,5,0,3,0.955555558
0,1,5,0,11,0.881165922
0,1,5,0,9,0.931767344
0,1,5,1,1,0.922394693
0,1,5,1,5,0.949888647
0,1,5,1,7,0.917410731
0,1,5,1,3,0.939999998
0,1,5,1,11,0.911434948
0,1,5,1,9,0.906040251
0,1,4,0,1,0.786031067
0,1,4,0,5,0.95100224
0,1,4,0,7,0.936383903
0,1,4,0,3,0.953333318
0,1,4,0,11,0.92600894
0,1,4,0,9,0.906040251
0,1,4,1,1,0.811529934
0,1,4,1,5,0.95100224
0,1,4,1,7,0.939732134
0,1,4,1,3,0.946666658
0,1,4,1,11,0.929372191
0,1,4,1,9,0.921700239
0,1,3,0,1,0.922394693
0,1,3,0,5,0.95100224
0,1,3,0,7,0.921875
0,1,3,0,3,0.944444418
0,1,3,0,11,0.927130044
0,1,3,0,9,0.917225957
