model_name,augmented,frame,loss,accuracy
0529_model10,NA,1,0.3861210644245147,0.9235033392906188
0529_model10,NA,5,0.7006288766860962,0.9287304878234864
0529_model10,NA,7,0.4290905594825744,0.9419642686843872
0529_model10,NA,3,0.3183850049972534,0.9444444179534912
0529_model10,NA,11,0.5103436708450317,0.9192824959754944
0529_model10,NA,9,0.903386652,0.9306487441062928
0529_model5,NA,1,0.4757219851016998,0.9390243887901306
0529_model5,NA,5,0.6429321765899658,0.948775053
0529_model5,NA,7,0.9639846086502076,0.9330357313156128
0529_model5,NA,3,0.8090408444404602,0.946666658
0529_model5,NA,11,1.1852785348892212,0.8957399129867554
0529_model5,NA,9,0.9099627733230592,0.918344498
0529_model6,NA,1,0.455251932,0.944567621
0529_model6,NA,5,0.5127657651901245,0.9409799575805664
0529_model6,NA,7,0.6788686513900757,0.9341517686843872
0529_model6,NA,3,0.5296231508255005,0.9422222375869752
0529_model6,NA,11,0.9045970439910888,0.92600894
0529_model6,NA,9,0.7518232464790344,0.9340044856071472
0529_model7,NA,1,0.5853489637374878,0.9190687537193298
0529_model7,NA,5,0.9476689696311952,0.9443207383155824
0529_model7,NA,7,0.6290141344070435,0.9430803656578064
0529_model7,NA,3,0.4596607089042663,0.9233333468437196
0529_model7,NA,11,0.933892548,0.9248878955841064
0529_model7,NA,9,0.7949374318122864,0.918344498
0529_model8,NA,1,0.7259074449539185,0.9135255217552184
0529_model8,NA,5,0.42052108,0.9498886466026306
0529_model8,NA,7,0.7955290079116821,0.9308035969734192
0529_model8,NA,3,0.3185534477233886,0.9477777481079102
0529_model8,NA,11,0.6827431321144104,0.9226457476615906
0529_model8,NA,9,1.2222766876220703,0.9239373803138732
0529_model9,NA,1,0.4779666364192962,0.8946784734725952
0529_model9,NA,5,0.6232837438583374,0.9432071447372437
0529_model9,NA,7,1.2665021419525146,0.9308035969734192
0529_model9,NA,3,0.4131625592708587,0.9477777481079102
0529_model9,NA,11,1.1161354780197144,0.9181614518165588
0529_model9,NA,9,0.7485098242759705,0.9194630980491638
0606_model10,A,1,0.4930779337882995,0.9101995825767516
0606_model10,A,5,0.6563291549682617,0.9409799575805664
0606_model10,A,7,0.7036482691764832,0.9363839030265808
0606_model10,A,3,0.5674982070922852,0.952222228
0606_model10,A,11,0.6742739677429199,0.9226457476615906
0606_model10,A,9,0.6233751177787781,0.9194630980491638
0606_model5,A,1,1.1748443841934204,0.8592017889022827
0606_model5,A,5,1.1573524475097656,0.945434272
0606_model5,A,7,1.1677104234695437,0.9363839030265808
0606_model5,A,3,0.4765086472034454,0.9399999976158142
0606_model5,A,11,1.5300980806350708,0.923766792
0606_model5,A,9,1.1160835027694702,0.9328858852386476
0606_model6,A,1,0.6967892050743103,0.9035476446151732
0606_model6,A,5,0.6434266567230225,0.945434272
0606_model6,A,7,0.913303018,0.9263392686843872
0606_model6,A,3,0.716350257,0.9266666769981384
0606_model6,A,11,1.0701671838760376,0.9360986351966858
0606_model6,A,9,0.8999792337417603,0.926174521
0606_model7,A,1,0.6669685244560242,0.8869179487228394
0606_model7,A,5,0.8154398798942566,0.945434272
0606_model7,A,7,1.0280300378799438,0.9274553656578064
0606_model7,A,3,0.6944544911384583,0.9399999976158142
0606_model7,A,11,1.2521008253097534,0.9192824959754944
0606_model7,A,9,0.9283676743507384,0.901565969
0606_model8,A,1,1.126178265,0.7638580799102783
0606_model8,A,5,1.0624241828918457,0.9432071447372437
0606_model8,A,7,0.8782669305801392,0.9386160969734192
0606_model8,A,3,0.9113748669624328,0.9422222375869752
0606_model8,A,11,0.927910864,0.92600894
0606_model8,A,9,0.6047931909561157,0.9384787678718568
0606_model9,A,1,0.6113404631614685,0.8226163983345032
0606_model9,A,5,0.817809522,0.945434272
0606_model9,A,7,0.7954772710800171,0.9375
0606_model9,A,3,0.9344865083694458,0.9422222375869752
0606_model9,A,11,0.7837284803390503,0.9248878955841064
0606_model9,A,9,0.7027620077133179,0.9172259569168092
