ECE,Group,LSTM,conv,augmented,frame,mAP,normal_acc,mandown_acc,cross_acc,accuracy
0.36920012504963506,1,1,5,1,1,0.9080118468858954,0.9600360845644673,0.9080473308949648,0.855952125,0.838137448
0.3834077115609728,0,0,1,1,1,0.8584085931637194,0.9580819623000809,0.8918900719334252,0.7252537452576526,0.859201789
0.4001828289830865,1,1,6,1,1,0.9209179094826618,0.9617878354673309,0.9184614511100859,0.8825044418705683,0.86807096
0.40197039539443596,0,1,6,0,5,0.9369817383456439,0.9859337402669005,0.9073615386326359,0.9176499361373951,0.918526769
0.4201128226657762,0,0,6,0,11,0.9510832881869146,0.986578618,0.9384439514064018,0.9282272946901904,0.930648744
0.4233241500413526,0,1,4,0,9,0.9520723101401637,0.9901965422808493,0.9231026397737485,0.9429177483658934,0.92600894
0.4277255889370572,1,1,1,1,1,0.9287438399996266,0.960022322,0.8888463415370359,0.937362857,0.901330352
0.42892050784749924,1,0,1,1,5,0.9158361413945099,0.9884323661602975,0.8901874427291945,0.8688886152940376,0.912946403
0.43205502027982584,1,0,4,1,5,0.9281322016016871,0.9905088214985084,0.9153007174515485,0.8785870658550045,0.926339269
0.4323864064544667,1,1,3,1,1,0.8912100056823161,0.9610797197211799,0.916573834,0.7959764628313457,0.931263864
0.4337469612508864,0,1,3,0,7,0.9541587701501694,0.9903536418565647,0.9160096487737636,0.9561130198201798,0.944444418
0.4348053192509439,1,0,3,1,1,0.9373705112684362,0.9576008656861856,0.9213116036801514,0.9331990644389717,0.911308229
0.43545170157913166,1,0,4,0,5,0.9242146155572507,0.9883951791383536,0.912180334,0.8720683335474745,0.916294634
0.43743658963321985,0,0,5,1,1,0.9025470933426356,0.9149048348502785,0.9233251052867949,0.8694113398908334,0.822616398
0.4387690015933367,0,1,1,0,9,0.9190392775220388,0.9919140659112514,0.9120611914527122,0.8531425752021529,0.913677156
0.4412150339845084,0,0,5,0,5,0.9645586104680922,0.9896432730990382,0.9430973703615291,0.960935188,0.930803597
0.44219005064135164,1,0,4,0,7,0.9104120561387737,0.9738332156633263,0.8807497784938868,0.8766531742591082,0.943333328
0.4438375130208599,0,1,2,0,9,0.9552739870161794,0.9910823134013542,0.9342362373457938,0.9405034103013901,0.766816139
0.44407162045798193,0,0,2,1,5,0.9455508413582315,0.9910879313533079,0.913238858,0.932325735,0.926339269
0.4461911782598795,0,1,3,1,1,0.8674631750879968,0.9557621868849326,0.8574740887648528,0.7891532496142045,0.890243888
0.4466273644333489,0,0,4,0,7,0.9474580151910649,0.993590384,0.9197743381590118,0.9290093235441725,0.947777748
0.44898444653105296,0,0,6,0,9,0.9479750229255411,0.9862566958529618,0.9449161986382537,0.912752174,0.919282496
0.44992638605275964,1,1,2,0,5,0.9508349026717443,0.9864947006649974,0.929118523,0.9368914843976712,0.9296875
0.4501780315573987,0,1,1,1,7,0.9145278413464265,0.9834522958521035,0.9051574399632206,0.8549737882239559,0.954444468
