model5NA1,529,4,5
model5NA1,13,186,18
model5NA1,15,0,132
model5NA5,528,4,4
model5NA5,14,183,18
model5NA5,6,0,141
model5NA7,524,9,2
model5NA7,20,177,17
model5NA7,12,0,135
model5NA3,528,5,4
model5NA3,16,182,18
model5NA3,5,0,142
model5NA11,512,12,9
model5NA11,27,153,32
model5NA11,13,0,134
model5NA9,524,3,7
model5NA9,23,157,33
model5NA9,7,0,140
model5NA1,529,4,5
model5NA1,13,186,18
model5NA1,15,0,132
model5NA5,528,4,4
model5NA5,14,183,18
model5NA5,6,0,141
model5NA7,524,9,2
model5NA7,20,177,17
model5NA7,12,0,135
model5NA3,528,5,4
model5NA3,16,182,18
model5NA3,5,0,142
model5NA11,512,12,9
model5NA11,27,153,32
model5NA11,13,0,134
model5NA9,524,3,7
model5NA9,23,157,33
model5NA9,7,0,140
model5A1,449,80,9
model5A1,13,186,18
model5A1,7,0,140
model5A5,521,10,5
model5A5,13,184,18
model5A5,3,0,144
model5A7,514,12,9
model5A7,11,186,17
model5A7,8,0,139
model5A3,517,13,7
model5A3,10,186,20
model5A3,3,1,143
model5A11,527,2,4
model5A11,31,164,17
model5A11,14,0,133
model5A9,522,8,4
model5A9,22,174,17
model5A9,9,0,138
model6NA1,524,8,6
model6NA1,11,188,18
model6NA1,7,0,140
model6NA5,531,5,0
model6NA5,12,186,17
model6NA5,19,0,128
model6NA7,519,15,1
model6NA7,11,186,17
model6NA7,15,0,132
model6NA3,522,15,0
model6NA3,10,187,19
model6NA3,8,0,139
model6NA11,519,12,2
model6NA11,17,179,16
model6NA11,19,0,128
model6NA9,521,8,5
model6NA9,19,175,19
model6NA9,8,0,139
model6A1,529,5,4
model6A1,24,184,9
model6A1,44,1,102
model6A5,515,13,8
model6A5,7,190,18
model6A5,3,0,144
model6A7,516,13,6
model6A7,20,176,18
model6A7,9,0,138
model6A3,532,2,3
model6A3,34,164,18
model6A3,9,0,138
model6A11,514,11,8
model6A11,14,181,17
model6A11,7,0,140
model6A9,531,3,0
model6A9,33,163,17
model6A9,13,0,134
model7NA1,530,3,5
model7NA1,33,182,2
model7NA1,30,0,117
model7NA5,516,13,7
model7NA5,6,191,18
model7NA5,6,0,141
model7NA7,516,13,6
model7NA7,9,188,17
model7NA7,6,0,141
model7NA3,534,3,0
model7NA3,30,184,2
model7NA3,34,0,113
model7NA11,521,8,4
model7NA11,22,172,18
model7NA11,15,0,132
model7NA9,516,4,14
model7NA9,25,163,25
model7NA9,5,0,142
model7A1,524,8,6
model7A1,34,166,17
model7A1,37,0,110
model7A5,519,14,3
model7A5,5,192,18
model7A5,9,0,138
model7A7,509,14,12
model7A7,17,180,17
model7A7,5,0,142
model7A3,531,5,1
model7A3,17,178,21
model7A3,10,0,137
model7A11,520,8,5
model7A11,25,167,20
model7A11,14,0,133
model7A9,525,5,4
model7A9,41,142,30
model7A9,8,0,139
model8NA1,533,0,5
model8NA1,47,165,5
model8NA1,21,0,126
model8NA5,522,10,4
model8NA5,4,193,18
model8NA5,9,0,138
model8NA7,505,18,12
model8NA7,8,188,18
model8NA7,4,2,141
model8NA3,535,2,0
model8NA3,22,186,8
model8NA3,15,0,132
model8NA11,504,12,17
model8NA11,16,178,18
model8NA11,6,0,141
model8NA9,518,9,7
model8NA9,22,170,21
model8NA9,9,0,138
model8A1,416,119,3
model8A1,11,190,16
model8A1,63,1,83
model8A5,522,12,2
model8A5,9,189,17
model8A5,11,0,136
model8A7,519,13,3
model8A7,13,184,17
model8A7,9,0,138
model8A3,533,3,1
model8A3,20,177,19
model8A3,9,0,138
model8A11,520,10,3
model8A11,22,174,16
model8A11,15,0,132
model8A9,517,13,4
model8A9,12,184,17
model8A9,9,0,138
model9NA1,530,1,7
model9NA1,36,163,18
model9NA1,33,0,114
