ECE,Group,LSTM,conv,augmented,frame,mAP,normal_acc,mandown_acc,cross_acc
0.03720069249445687,0,0,6,1,1,0.9384020666325968,0.9581528075000052,0.909026930902866,0.9480264614949195
0.07340447973094166,0,0,6,1,11,0.9604844061620099,0.9863360564709361,0.9560188174912134,0.93909834452388
0.04118163611111111,0,0,6,1,3,0.9557640432514303,0.9829897641860111,0.9271849089563118,0.9571174566119682
0.055349180501113676,0,0,6,1,5,0.9554334095912376,0.9861520900873879,0.9380932517411443,0.9420548869451807
0.060061598247767856,0,0,6,1,7,0.9595349176200841,0.9958130683101463,0.935032544782439,0.947759139767667
0.07335445901566001,0,0,6,1,9,0.9544997838819506,0.9875208270652445,0.9208584763667796,0.9551200482138276
0.03138716772727277,0,0,6,0,1,0.9184572953476063,0.9684925476424483,0.9211416131857995,0.8657377252145712
0.0693371757735425,0,0,6,0,11,0.9510832881869146,0.986578618464152,0.9384439514064018,0.9282272946901904
0.041411062744444414,0,0,6,0,3,0.966637405482549,0.9782755948276891,0.9550701399844448,0.966566481635513
0.06124877662583532,0,0,6,0,5,0.9600387866651335,0.9849402541294797,0.9510460048810578,0.9441301009848633
0.04825165218749995,0,0,6,0,7,0.9671897720190062,0.994623833815577,0.9558322866233254,0.9511131956181161
0.06561031388143179,0,0,6,0,9,0.9479750229255411,0.9862566958529618,0.9449161986382537,0.912752174285408
0.04392584329268308,0,1,1,1,1,0.9234429889037007,0.962553944796314,0.914487674550869,0.893287347363919
0.07692947171524661,0,1,1,1,11,0.9195567500831796,0.9786484649848048,0.9161453606082672,0.8638764246564665
0.04241261744444445,0,1,1,1,3,0.957206673149642,0.9870897526312881,0.9190415702415577,0.9654886965760802
0.05096578729398662,0,1,1,1,5,0.9274672902932171,0.986041017135332,0.930567143223948,0.865793710520371
0.0704913867299107,0,1,1,1,7,0.9145278413464265,0.9834522958521035,0.9051574399632206,0.8549737882239559
0.08549324821029097,0,1,1,1,9,0.9400405524169345,0.9715886449043191,0.9189793041768808,0.9295537081696039
0.030441881995565478,0,1,1,0,1,0.937546911944822,0.953840863918906,0.9180349569850567,0.9407649149305031
0.07864979614349785,0,1,1,0,11,0.94749778378384,0.9834442395141257,0.9274955913226861,0.9315535205147082
