Group,LSTM,conv,augmented,frame,accuracy,ECE
1,0,6,0,11,0.928251147,0.512261827
0,0,3,1,7,0.927455366,0.473471101
1,1,4,0,7,0.927455366,0.474665647
1,0,4,0,9,0.927293062,0.511545366
1,0,1,0,9,0.927293062,0.550261846
1,1,1,1,11,0.927130044,0.459085431
0,1,3,0,11,0.927130044,0.479030289
0,0,2,1,3,0.926666677,0.47966873
1,0,4,1,5,0.92650336,0.527457709
0,0,2,1,7,0.926339269,0.43205502
1,0,4,1,7,0.926339269,0.44407162
0,0,2,1,9,0.926174521,0.466969802
1,0,2,1,9,0.926174521,0.509299513
0,1,6,1,9,0.926174521,0.566927269
0,0,4,1,11,0.92600894,0.42332415
0,0,2,0,11,0.92600894,0.477031098
0,1,4,0,11,0.92600894,0.480027004
0,1,3,1,11,0.92600894,0.481515473
0,1,5,0,1,0.925720632,0.683805492
0,1,1,1,7,0.925223231,0.468973159
0,0,5,1,11,0.924887896,0.489124066
0,0,3,0,11,0.924887896,0.565932507
1,1,5,0,7,0.924107134,0.452431329
1,1,3,0,7,0.924107134,0.484012337
0,0,4,0,9,0.92393738,0.450914751
1,1,1,1,9,0.92393738,0.517507071
0,0,1,1,11,0.923766792,0.49433329
1,1,5,0,11,0.923766792,0.497759444
0,0,6,0,1,0.923503339,0.798308728
0,0,3,0,3,0.923333347,0.466006558
1,1,1,0,7,0.922991097,0.470391128
1,0,5,0,7,0.922991097,0.470442934
1,0,6,0,9,0.92281878,0.474246974
1,0,6,1,9,0.92281878,0.5182453
1,0,5,1,9,0.92281878,0.536205177
0,0,4,0,11,0.922645748,0.469684992
1,0,4,1,11,0.922645748,0.484631761
1,0,2,1,11,0.922645748,0.50388969
0,0,6,1,11,0.922645748,0.521502189
1,0,4,1,1,0.922394693,0.489280523
0,1,5,1,1,0.922394693,0.493784059
0,1,3,0,1,0.922394693,0.630507284
1,0,6,1,7,0.921875,0.455405749
0,1,3,0,7,0.921875,0.517250664
1,1,5,1,9,0.921700239,0.503428308
0,1,4,1,9,0.921700239,0.506467073
1,0,3,1,11,0.921524644,0.465493423
0,1,6,0,11,0.921524644,0.465967578
1,0,5,1,7,0.920758903,0.487818446
1,0,1,1,9,0.920581639,0.58427213
1,1,4,0,11,0.9204036,0.474686115
1,0,5,0,11,0.9204036,0.509643001
