model_name,augmented,frame,loss,accuracy
0529_model23,NA,1,0.6628997921943665,0.9046562910079956
0529_model23,NA,5,0.7706036567687988,0.9510022401809692
0529_model23,NA,7,0.8885701894760132,0.9229910969734192
0529_model23,NA,3,0.5343839526176453,0.948888898
0529_model23,NA,11,0.9199733138084412,0.9125560522079468
0529_model23,NA,9,0.5340307354927063,0.9328858852386476
0529_model24,NA,1,0.5865901708602905,0.8747228384017944
0529_model24,NA,5,0.5553247928619385,0.948775053
0529_model24,NA,7,0.6080703735351562,0.9296875
0529_model24,NA,3,0.4504701793193817,0.9366666674613952
0529_model24,NA,11,0.7511976957321167,0.9125560522079468
0529_model24,NA,9,0.9404323697090148,0.9172259569168092
0529_model25,NA,1,0.9129948019981384,0.809312642
0529_model25,NA,5,0.5569067597389221,0.935412049
0529_model25,NA,7,0.6878007054328918,0.9241071343421936
0529_model25,NA,3,0.5644015669822693,0.9377777576446532
0529_model25,NA,11,1.0406774282455444,0.8878923654556274
0529_model25,NA,9,0.6330116987228394,0.9317673444747924
0529_model26,NA,1,0.7517154812812805,0.7960088849067688
0529_model26,NA,5,0.6786429286003113,0.942093551
0529_model26,NA,7,0.9938893914222716,0.9274553656578064
0529_model26,NA,3,0.9263325929641724,0.902222216
0529_model26,NA,11,0.6886497735977173,0.9204035997390748
0529_model26,NA,9,0.6385189890861511,0.9284116625785828
0529_model27,NA,1,0.4394275546073913,0.9312638640403748
0529_model27,NA,5,0.7364636659622192,0.9376391768455504
0529_model27,NA,7,0.6070442795753479,0.9241071343421936
0529_model27,NA,3,0.3927706778049469,0.9399999976158142
0529_model27,NA,11,1.2196063995361328,0.923766792
0529_model27,NA,9,0.7864291667938232,0.9026845693588256
0529_model28,NA,1,0.3103735446929931,0.9423503279685974
0529_model28,NA,5,0.6509672403335571,0.9387527704238892
0529_model28,NA,7,0.6155614852905273,0.9285714030265808
0529_model28,NA,3,0.3483151495456695,0.9422222375869752
0529_model28,NA,11,0.7310842275619507,0.915919304
0529_model28,NA,9,0.8192838430404663,0.9049217104911804
0606_model23,A,1,0.490380198,0.9013303518295288
0606_model23,A,5,0.6384714245796204,0.9543429613113404
0606_model23,A,7,1.3018944263458252,0.9107142686843872
0606_model23,A,3,0.5530880689620972,0.9544444680213928
0606_model23,A,11,1.237336039543152,0.9271300435066224
0606_model23,A,9,0.6016637086868286,0.9239373803138732
0606_model24,A,1,0.5880403518676758,0.8913525342941284
0606_model24,A,5,0.5866031050682068,0.9398663640022278
0606_model24,A,7,0.6929513812065125,0.9073660969734192
0606_model24,A,3,0.5619475841522217,0.948888898
0606_model24,A,11,0.6635832786560059,0.9091928005218506
0606_model24,A,9,0.8119896054267883,0.918344498
0606_model25,A,1,0.6718991994857788,0.9312638640403748
0606_model25,A,5,0.7804128527641296,0.9376391768455504
0606_model25,A,7,0.9287980198860168,0.9129464030265808
0606_model25,A,3,0.6404019594192505,0.9377777576446532
0606_model25,A,11,1.406127691268921,0.8991031646728516
0606_model25,A,9,0.6615309119224548,0.899328887
0606_model26,A,1,0.7345618009567261,0.9412416815757751
0606_model26,A,5,0.6348291039466858,0.9432071447372437
0606_model26,A,7,0.7457256317138672,0.9140625
0606_model26,A,3,0.983138144,0.9122222065925598
0606_model26,A,11,0.7942301034927368,0.9125560522079468
0606_model26,A,9,0.9596032500267028,0.900447428
0606_model27,A,1,0.7295156121253967,0.8381374478340149
0606_model27,A,5,0.8224389553070068,0.9498886466026306
0606_model27,A,7,0.8785845637321472,0.9118303656578064
0606_model27,A,3,0.5418819785118103,0.949999988
0606_model27,A,11,1.192505955696106,0.9136771559715272
0606_model27,A,9,1.2398287057876587,0.9217002391815186
0606_model28,A,1,0.8217523694038391,0.8680709600448608
0606_model28,A,5,0.6305950880050659,0.936525583
0606_model28,A,7,1.0237972736358645,0.9330357313156128
0606_model28,A,3,0.7260714769363403,0.9411110877990724
0606_model28,A,11,1.4124836921691897,0.9013453125953674
0606_model28,A,9,1.358572244644165,0.9038031101226808
