model_name,augmented,frame,loss,accuracy
0529_model11,NA,1,0.5333160161972046,0.9423503279685974
0529_model11,NA,5,0.6805589199066162,0.948775053
0529_model11,NA,7,0.8828626275062561,0.9330357313156128
0529_model11,NA,3,0.4259542226791382,0.949999988
0529_model11,NA,11,0.843459427,0.9136771559715272
0529_model11,NA,9,0.9372188448905944,0.918344498
0529_model12,NA,1,0.444393903,0.9379157423973083
0529_model12,NA,5,0.5000708699226379,0.945434272
0529_model12,NA,7,0.4497069716453552,0.9419642686843872
0529_model12,NA,3,0.4401751756668091,0.952222228
0529_model12,NA,11,2.2680470943450928,0.7668161392211914
0529_model12,NA,9,0.5710218548774719,0.9194630980491638
0529_model13,NA,1,0.4380307793617248,0.9223946928977966
0529_model13,NA,5,0.6174154877662659,0.9510022401809692
0529_model13,NA,7,0.6508926749229431,0.921875
0529_model13,NA,3,0.6177819967269897,0.9444444179534912
0529_model13,NA,11,0.5704501867294312,0.9271300435066224
0529_model13,NA,9,0.8553284406661987,0.9172259569168092
0529_model14,NA,1,0.7608060836791992,0.7860310673713684
0529_model14,NA,5,0.4709983468055725,0.9510022401809692
0529_model14,NA,7,0.6279783844947815,0.9363839030265808
0529_model14,NA,3,0.3251524269580841,0.953333318
0529_model14,NA,11,0.830671489,0.92600894
0529_model14,NA,9,0.7233589887619019,0.9060402512550354
0529_model15,NA,1,0.5041570067405701,0.9257206320762634
0529_model15,NA,5,0.4594391286373138,0.942093551
0529_model15,NA,7,0.6071239709854126,0.9162946343421936
0529_model15,NA,3,0.330066979,0.9555555582046508
0529_model15,NA,11,0.7162701487541199,0.8811659216880798
0529_model15,NA,9,0.5076505541801453,0.9317673444747924
0529_model16,NA,1,0.4707099199295044,0.9024389982223512
0529_model16,NA,5,0.6648221015930176,0.9131402969360352
0529_model16,NA,7,0.6338552236557007,0.9185267686843872
0529_model16,NA,3,0.532118559,0.8866666555404663
0529_model16,NA,11,0.5511540174484253,0.9215246438980104
0529_model16,NA,9,0.4913282692432403,0.9306487441062928
0606_model11,A,1,0.5944458246231079,0.9523281455039978
0606_model11,A,5,0.8753741383552551,0.9465478658676147
0606_model11,A,7,0.8686888813972473,0.9252232313156128
0606_model11,A,3,0.6371057033538818,0.9544444680213928
0606_model11,A,11,1.0241687297821045,0.9147982001304626
0606_model11,A,9,1.1577922105789185,0.909395993
0606_model12,A,1,0.8084810376167297,0.9467849135398864
0606_model12,A,5,0.7941128611564636,0.9432071447372437
0606_model12,A,7,0.7767264246940613,0.9285714030265808
0606_model12,A,3,0.5561374425888062,0.9544444680213928
0606_model12,A,11,0.9813541769981384,0.9181614518165588
0606_model12,A,9,0.7092073559761047,0.9340044856071472
0606_model13,A,1,0.6303035616874695,0.8902438879013062
0606_model13,A,5,0.7712551951408386,0.9376391768455504
0606_model13,A,7,1.064906358718872,0.9285714030265808
0606_model13,A,3,0.5432321429252625,0.953333318
0606_model13,A,11,0.7007280588150024,0.92600894
0606_model13,A,9,0.9552673101425172,0.9306487441062928
0606_model14,A,1,1.075646996498108,0.8115299344062805
0606_model14,A,5,0.7180555462837219,0.9510022401809692
0606_model14,A,7,0.9053874611854552,0.9397321343421936
0606_model14,A,3,0.5736637115478516,0.946666658
0606_model14,A,11,1.1104648113250732,0.9293721914291382
0606_model14,A,9,0.573091447,0.9217002391815186
0606_model15,A,1,0.6196838617324829,0.9223946928977966
0606_model15,A,5,0.5636922121047974,0.9498886466026306
0606_model15,A,7,0.8359386324882507,0.9174107313156128
0606_model15,A,3,0.4945324063301086,0.9399999976158142
0606_model15,A,11,0.9622406959533693,0.9114349484443665
0606_model15,A,9,0.8100345730781555,0.9060402512550354
0606_model16,A,1,0.5286306738853455,0.9356984496116638
0606_model16,A,5,0.6480837464332581,0.945434272
0606_model16,A,7,0.6294543147087097,0.9397321343421936
0606_model16,A,3,0.4372544288635254,0.951111138
0606_model16,A,11,0.828088641,0.915919304
0606_model16,A,9,0.763659656,0.926174521
