Model,ECE,Group,LSTM,conv,augmented,frame
model8,0.4509147510299694,0,0,4,0,11
model8,0.5328651542443105,0,0,4,0,3
model8,0.4794616600843058,0,0,4,0,5
model8,0.4466273644333489,0,0,4,0,7
model8,0.4846317612626592,0,0,4,0,9
model9,0.43743658963321985,0,0,5,1,1
model9,0.4943971065147955,0,0,5,1,11
model9,0.48641528733858824,0,0,5,1,3
model9,0.4704578907190854,0,0,5,1,5
model9,0.48962571990014986,0,0,5,1,7
model9,0.565932507189329,0,0,5,1,9
model9,0.7679025956622292,0,0,5,0,1
model9,0.5399569567301965,0,0,5,0,11
model9,0.47291264295982827,0,0,5,0,3
model9,0.4412150339845084,0,0,5,0,5
model9,0.45926737423338493,0,0,5,0,7
model9,0.47231338754223967,0,0,5,0,9
